Designator,MPN,QTY,DESCRIPTION,VALUE,Footprint,LCSC Part #
U1,EPM240T100C5N,,CPLD with 240LEs,,TQFP100,
U2,THS7374IPWR,1,Video amplifier with SD filters,,TSSOP-14,
U3,NCP1117ST33T3G,,,,SOT223,C26537 
C1,GRM31CR61A476ME15L,,,47uF / 10V (20%),SMD1206/SMD0805,C68361
C6,,,,2.2uf,SMD0603,C23630 
FB1,BLM18PG471SN1D,,Ferrit bead,,SMD0603,
FB2,BLM18PG471SN1D,1,Ferrit bead,,SMD0603,
"C2,C3,C4,C5",GRM21BR60J106ME19L,4,"Ceramic capacitor, X7R",10uF / 6.3V (10%),SMD0805,C15850 
"C10-C19,C22",C0603C104K9R,11,"Ceramic capacitor, X7R",0.1uF / 50V (10%),SMD0603,C14663 
C21,GRM31CR60J226KE19,1,"Ceramic capacitor, X5R",22uF / 6.3volts (10%),SMD1206/SMD0805,C12891
C23-C27,VJ0603A470JXXPBC,5,"Ceramic capacitor, C0G",47pF / 25V (5%),SMD0603,
FBN10-FBN13,CAT16-47R0F4LF / CAY16-47R0F4LF,4,Chip Resistor Array 1206,4x 47ohm (1%),SMD1206,C16081
R10,CRCW0603-1.0K,1,Resistor,1kohm (1%),SMD0603,C21190 
"R11, R12",CRCW0603-10K,1,Resistor,10kohm (1%),SMD0603,C25804 
R13,CRCW06034K70FKEAH,1,Resistor,4.7kohm (1%),SMD0603,C23162 
R14,CRCW0603-475-E3,1,Resistor,475ohm (1%),SMD0603,C23181 
R15,CRCW0603330RFKEAH,1,Resistor,330ohm (1%),SMD0603,C23138 
"RN100,RN102,RN110,RN112,RN120,RN122",CAT16-2001F4LF,6,Chip Resistor Array 1206,4x 2kohm (1%),SMD1206,C25731
"RN101,RN103,RN111,RN113,RN121,RN123",CAT16-1001F4LF,6,Chip Resistor Array 1206,4x 1kohm (1%),SMD1206,C20197 
"R100,R110,R120",RC0603FR-07280RL,3,Resistor,280ohm (1%),SMD0603,C22971
RN20,CAT16-75R0F4LF / CAY16-75R0F4LF,1,Chip Resistor Array 1206,4x 75ohm (1%),SMD1206,C25514
